Question|Answer
What is the name of the magical creature that can only be seen by those who have witnessed death? | Thestral
What is the name of the school newspaper at Hogwarts? | The Daily Prophet
What is the name of the magical map that shows the entire layout of Hogwarts? | Marauder's Map
Which Hogwarts house does Luna Lovegood belong to? | Ravenclaw
What magical creature is known for guarding Gringott's Bank? | Ukrainian Ironbelly (a dragon)
What is the primary ingredient in Polyjuice potion? | The hair of the person you want to transform into
What is the name of the three-headed dog guarding the trapdoor in Harry Potter and the Sorcerer's Stone? | Fluffy
What position does Harry play in Quidditch? | Seeker
Where did Hermione hold the first meeting for students interested in joining Dumbledore's Army? | The Hog's Head
What is Hermione's cat's name? | Crookshanks
Which pub in London conceals the entrance to Diagon Alley? | The Leaky Cauldron
What eavesdropping tool did Fred and George invent in Harry Potter and the Order of the Phoenix? | Extendable Ears
Who is the Slytherin ghost? | The Bloody Baron
What does Harry name his children? | James Sirius, Albus Severus, and Lily Luna
Where would you look to find a bezoar? | In the stomach of a goat
In the book version of Harry Potter and the Sorcerer's Stone, what is the name of Dudley's friend who goes to the zoo with the Dursleys and Harry? | Piers
And what type of animal does Harry accidentally set free while they're at the zoo? | A boa constrictor 
What is the name of the couple that attends dinner at the Dursley's when Dobby shows up to stop Harry from retuning to Hogwarts? | Mr. and Mrs. Mason
What does the boggart turn into when Mrs. Weasley sees it? | Her entire family and Harry lying dead on the floor
In the book version of Harry Potter and the Half-Blood Prince, who finds Harry on the Hogwarts Express after Malfoy breaks his nose and leaves him under the Invisibility Cloak? | Tonks
How was Hermione able to take extra lessons? | She used a time-turner
Who is manipulated into vandalizing Hogwarts with messages about the Chamber of Secrets? | Ginny Weasley
Which insect is Ron afraid of? | Spiders
What’s the name of Hagrid’s half-brother? | Grawp
What is Hermione’s patronus? | An otter
What is the name of the Weasley twins’ magic joke shop? | Weasleys’ Wizard Wheezes
Where was Harry Potter born? | Godric's Hollow
What is Professor McGonagall’s animagus? | Silver tabby cat
What is the name of the Gryffindor ghost? | Nearly Headless Nick.
What type of creature is Fluffy? | A three-headed dog
Who is Harry's godfather? | Sirius Black 
What is Voldemort's real name? | Tom Marvolo Riddle
What is the British term for a nonmagical person? | Muggle
Who is NOT in Gryffindor: Harry Potter, Ron Weasley, Draco Malfoy, or Ginny Weasley? | Draco Malfoy
What is Harry's middle name? | James
What year do Hogwarts students take O.W.L.s? | Fifth year
Who sent Harry his Firebolt? | Sirius Black 
Which Weasley dies during the final battle of Hogwarts? | Fred Weasley
What magazine does Xenophilius Lovegood publish? | The Quibbler
Which incantation can levitate an object? | Wingardium Leviosa
What did Harry do to get him temporarily expelled from Hogwarts? | He chases away dementors 
What's the address of the Black family home? | 12 Grimmauld Place
When is Harry's birthday? | July 31
What is the correct birth order of the Weasley children? | Bill, Charlie, Percy, Fred and George, Ron, Ginny
Who anonymously sends Harry his father's Invisibility Cloak on Christmas? | Albus Dumbledore
What is the animal symbol of Ravenclaw? | Eagle
What is the name of Hagrid's boarhound dog? | Fang
And what about his pet dragon? | Norbert
Who betrays Lily and James Potter: Moony, Professor Snape, Padfoot, or Wormtail? | Wormtail
