,Question,Answer,RAG_Answer
0,What is the name of the magical creature that can only be seen by those who have witnessed death? , Thestral,There is no magical creature that can only be seen by those who have witnessed death.
1,What is the name of the school newspaper at Hogwarts? , The Daily Prophet,The school newspaper at Hogwarts is called the Daily Prophet [1].
2,What is the name of the magical map that shows the entire layout of Hogwarts? , Marauder's Map,"The Marauder's Map is a magical map that shows every detail of the Hogwarts castle and grounds [1]. It also shows tiny ink dots moving around the map, each labeled with a name in minuscule writing [1]."
3,Which Hogwarts house does Luna Lovegood belong to? , Ravenclaw,A summary could not be generated for your search query. Here are some search results.
4,What magical creature is known for guarding Gringott's Bank? , Ukrainian Ironbelly (a dragon),Dragons are said to guard vaults in Gringotts Bank [2].
5,What is the primary ingredient in Polyjuice potion? , The hair of the person you want to transform into,The primary ingredient in Polyjuice potion is lacewing flies.
6,What is the name of the three-headed dog guarding the trapdoor in Harry Potter and the Sorcerer's Stone? , Fluffy,The three-headed dog guarding the trapdoor in Harry Potter and the Sorcerer's Stone is named Fluffy.
7,What position does Harry play in Quidditch? , Seeker,A summary could not be generated for your search query. Here are some search results.
8,Where did Hermione hold the first meeting for students interested in joining Dumbledore's Army? , The Hog's Head,Hermione held the first meeting for students interested in joining Dumbledore's Army in the Room of Requirement.
9,What is Hermione's cat's name? , Crookshanks,A summary could not be generated for your search query. Here are some search results.
10,Which pub in London conceals the entrance to Diagon Alley? , The Leaky Cauldron,A summary could not be generated for your search query. Here are some search results.
11,What eavesdropping tool did Fred and George invent in Harry Potter and the Order of the Phoenix? , Extendable Ears,"Fred and George invented the Pocket Sneakoscope. It is a small, round device that spins and glows when it detects eavesdropping."
12,Who is the Slytherin ghost? , The Bloody Baron,"The Slytherin ghost is the Bloody Baron [1, 2]. He is a gaunt, staring ghost covered in silver bloodstains [2]. The other ghosts give him a wide berth [2]."
13,What does Harry name his children? ," James Sirius, Albus Severus, and Lily Luna",There is not enough information to answer the query.
14,Where would you look to find a bezoar? , In the stomach of a goat,A bezoar is a stone taken from the stomach of a goat and it will save you from most poisons [1].
15,"In the book version of Harry Potter and the Sorcerer's Stone, what is the name of Dudley's friend who goes to the zoo with the Dursleys and Harry? ", Piers,Dudley's best friend is Piers Polkiss [1]. Piers is Dudley's best friend in the book version of Harry Potter and the Sorcerer's Stone [1].
16,And what type of animal does Harry accidentally set free while they're at the zoo? , A boa constrictor ,Harry accidentally set a boa constrictor free at the zoo [1].
17,What is the name of the couple that attends dinner at the Dursley's when Dobby shows up to stop Harry from retuning to Hogwarts? , Mr. and Mrs. Mason,The couple that attends dinner at the Dursley's when Dobby shows up to stop Harry from retuning to Hogwarts is the Weasleys.
18,What does the boggart turn into when Mrs. Weasley sees it? , Her entire family and Harry lying dead on the floor,The boggart turns into a dementor when it sees Mrs. Weasley.
19,"In the book version of Harry Potter and the Half-Blood Prince, who finds Harry on the Hogwarts Express after Malfoy breaks his nose and leaves him under the Invisibility Cloak? ", Tonks,"In the book version of Harry Potter and the Half-Blood Prince, Snape finds Harry on the Hogwarts Express after Malfoy breaks his nose and leaves him under the Invisibility Cloak."
20,How was Hermione able to take extra lessons? , She used a time-turner,Hermione was able to take extra lessons by using a Time-Turner. She received the Time-Turner from Professor McGonagall on the first day back to school and used it all year to get to all of her lessons [1].
21,Who is manipulated into vandalizing Hogwarts with messages about the Chamber of Secrets? , Ginny Weasley,There is not enough information to answer the query.
22,Which insect is Ron afraid of? , Spiders,A summary could not be generated for your search query. Here are some search results.
23,What’s the name of Hagrid’s half-brother? , Grawp,There is not enough information to answer the query.
24,What is Hermione’s patronus? , An otter,A summary could not be generated for your search query. Here are some search results.
25,What is the name of the Weasley twins’ magic joke shop? , Weasleys’ Wizard Wheezes,There is not enough information to answer the query.
26,Where was Harry Potter born? , Godric's Hollow,There is not enough information to answer the query.
27,What is Professor McGonagall’s animagus? , Silver tabby cat,A summary could not be generated for your search query. Here are some search results.
28,What is the name of the Gryffindor ghost? , Nearly Headless Nick.,"The Gryffindor ghost is named Nearly Headless Nick, or Sir Nicholas de Mimsy-Porpington [2]."
29,What type of creature is Fluffy? , A three-headed dog,A summary could not be generated for your search query. Here are some search results.
30,Who is Harry's godfather? , Sirius Black ,Harry's godfather is Sirius Black [1].
31,What is Voldemort's real name? , Tom Marvolo Riddle,Voldemort's real name is Tom Marvolo Riddle [2].
32,What is the British term for a nonmagical person? , Muggle,"In the Harry Potter series, the British term for a nonmagical person is ""Muggles""."
33,"Who is NOT in Gryffindor: Harry Potter, Ron Weasley, Draco Malfoy, or Ginny Weasley? ", Draco Malfoy,Draco Malfoy is not in Gryffindor.
34,What is Harry's middle name? , James,A summary could not be generated for your search query. Here are some search results.
35,What year do Hogwarts students take O.W.L.s? , Fifth year,O.W.L.s are taken in the fifth year.
36,Who sent Harry his Firebolt? , Sirius Black ,"It is unclear who sent Harry his Firebolt. Ron believes it was Dumbledore, but Harry says Dumbledore wouldn't spend hundreds of Galleons on him [1]."
37,Which Weasley dies during the final battle of Hogwarts? , Fred Weasley,Fred Weasley dies during the final battle of Hogwarts.
38,What magazine does Xenophilius Lovegood publish? , The Quibbler,There is not enough information to answer the query.
39,Which incantation can levitate an object? , Wingardium Leviosa,A summary could not be generated for your search query. Here are some search results.
40,What did Harry do to get him temporarily expelled from Hogwarts? , He chases away dementors ,There is not enough information to answer the query.
41,What's the address of the Black family home? , 12 Grimmauld Place,I don't know the address of the Black family home.
42,When is Harry's birthday? , July 31,A summary could not be generated for your search query. Here are some search results.
43,What is the correct birth order of the Weasley children? ," Bill, Charlie, Percy, Fred and George, Ron, Ginny","Percy was the first Weasley child to be born [3]. Mr. Weasley went next, followed by Fred and George [3]."
44,Who anonymously sends Harry his father's Invisibility Cloak on Christmas? , Albus Dumbledore,It is Dumbledore who anonymously sends Harry his father's Invisibility Cloak on Christmas [2].
45,What is the animal symbol of Ravenclaw? , Eagle,"The four school Houses are named after their founders: Godric Gryffindor, Helga Hufflepuff, Rowena Ravenclaw, and Salazar Slytherin [3]."
46,What is the name of Hagrid's boarhound dog? , Fang,"Hagrid's boarhound dog is named Fang [1, 2, 3]. Fang is a large, hairy dog who is often seen with Hagrid. He is often found licking Hagrid's ears."
47,And what about his pet dragon? , Norbert,A summary could not be generated for your search query. Here are some search results.
48,"Who betrays Lily and James Potter: Moony, Professor Snape, Padfoot, or Wormtail? ", Wormtail,"It was Peter Pettigrew, also known as Wormtail, who betrayed Lily and James Potter."
49,What is the name of the Weasley family home? , The Burrow,The Weasley family home is called The Burrow.
